,Coarse,Clay,Sand,Silt,pH(H2O),EC,OC,CaCO3,N,P,K
21572,,,,,7.2,50.9,45.6,23,5.1,53.8,5.0
21597,,,,,7.06,14.21,41.6,1,3.0,11.9,13.6
21613,,,,,7.28,35.8,17.0,2,2.0,21.7,32.3
21620,,,,,7.27,35.6,17.5,27,1.9,18.4,21.8
21621,,,,,7.15,64.9,33.5,15,3.6,45.7,54.3
21623,,,,,6.68,18.31,25.0,0,2.7,8.1,18.7
21629,,,,,7.17,41.1,23.9,15,2.9,18.3,94.5
21633,,,,,7.39,57.5,33.0,74,3.7,93.4,60.9
21634,,,,,6.6,11.83,9.8,1,1.1,34.9,221.8
21635,,,,,6.53,11.22,16.3,1,1.9,50.1,256.0
21643,,,,,7.16,35.3,41.7,33,3.0,21.3,91.0
21648,,,,,7.25,16.19,24.4,18,2.4,45.5,120.0
21649,,,,,6.81,62.3,104.3,3,9.1,12.4,635.9
21653,,,,,7.33,74.1,80.0,93,7.7,153.9,191.9
21656,,,,,7.16,27.2,35.1,44,3.6,22.6,17.9
21675,,,,,6.87,41.6,34.2,7,4.2,19.2,42.6
21676,,,,,7.13,12.47,13.3,1,1.5,34.5,190.6
21689,,,,,7.46,18.64,26.2,9,2.7,38.9,628.0
21697,,,,,7.26,24.3,44.9,142,3.9,20.9,88.3
21706,,,,,7.47,16.32,14.3,5,1.8,25.5,230.3
21707,,,,,6.82,11.09,18.9,6,1.7,9.8,43.1
21717,,,,,6.7,22.4,16.2,0,2.0,214.9,495.5
21720,,,,,7.12,22.0,34.0,16,2.8,32.5,177.3
21736,,,,,6.8,24.9,47.6,13,2.9,14.7,131.8
21742,,,,,7.31,10.17,15.8,3,1.8,73.4,88.3
21743,,,,,7.3,13.44,22.6,5,2.6,34.2,94.5
21750,,,,,6.6,41.2,33.7,0,3.8,93.8,356.1
21751,,,,,7.41,19.43,12.5,4,1.5,64.0,132.8
21754,,,,,6.87,32.7,94.9,16,5.8,7.9,101.5
21755,,,,,7.07,57.5,37.7,14,3.7,31.7,127.2
21759,,,,,6.96,28.2,139.4,0,8.6,25.7,56.3
21760,,,,,7.07,30.4,39.4,223,4.5,30.4,27.1
21765,,,,,7.14,21.4,55.0,154,4.4,20.0,149.5
21766,,,,,7.19,22.6,51.7,163,3.4,39.6,44.1
21770,,,,,7.09,76.1,67.0,113,4.8,52.7,73.2
21772,,,,,6.79,39.8,37.0,5,4.7,13.0,119.5
21793,,,,,7.37,40.7,16.5,5,2.2,74.9,230.3
21804,,,,,7.11,74.2,64.1,19,4.3,38.7,156.9
21808,,,,,7.04,26.7,71.6,82,6.8,23.9,568.9
21811,,,,,6.79,26.5,111.4,82,7.2,20.4,162.5
21814,,,,,7.11,29.0,50.8,31,4.7,11.1,235.1
21821,,,,,6.74,19.74,17.5,1,2.2,62.6,212.2
21824,,,,,7.29,68.7,83.5,112,6.0,21.7,128.5
21827,,,,,7.47,41.1,110.1,89,6.1,11.6,103.2
21833,,,,,7.41,21.3,37.3,108,3.4,19.0,108.0
21834,,,,,7.32,74.6,139.5,114,8.0,18.5,131.9
21835,,,,,6.82,37.6,74.6,22,5.4,13.1,210.5
21839,,,,,6.81,44.1,166.6,22,9.5,32.8,221.6
21842,,,,,7.18,78.9,286.8,65,11.5,49.0,161.5
21848,,,,,6.56,76.6,218.7,32,13.8,47.0,201.1
21849,,,,,7.33,16.18,27.7,54,2.3,11.3,56.6
21856,,,,,6.99,65.1,53.9,3,5.9,16.6,90.0
