,Coarse,Clay,Sand,Silt,pH(H2O),EC,OC,CaCO3,N,P,K
3102,13.0,20.0,28.0,52.0,6.86,10.91,26.7,4,2.8,38.4,235.8
3103,11.0,12.0,41.0,47.0,5.76,27.4,35.8,1,3.8,16.0,147.0
3104,14.0,17.0,26.0,57.0,5.73,12.45,39.5,0,3.7,14.4,146.4
3111,23.0,14.0,38.0,48.0,5.47,14.01,53.2,0,4.7,16.2,204.2
3132,23.0,15.0,54.0,31.0,6.97,10.98,16.2,2,1.5,4.3,152.5
3135,40.0,18.0,33.0,50.0,5.85,25.8,49.0,0,3.5,10.6,127.7
3150,10.0,13.0,44.0,42.0,5.47,11.59,48.3,0,4.8,11.1,226.0
3159,33.0,21.0,50.0,30.0,6.57,19.15,18.6,1,1.4,45.5,598.0
3166,23.0,26.0,13.0,60.0,5.88,11.39,49.9,0,5.9,10.6,74.1
3178,21.0,22.0,27.0,51.0,6.39,12.15,34.3,1,3.0,8.5,180.2
3179,15.0,21.0,29.0,50.0,6.33,15.59,32.0,1,2.9,10.4,219.4
3180,11.0,16.0,31.0,52.0,5.59,41.9,54.5,0,4.5,27.4,658.5
3189,28.0,27.0,11.0,62.0,5.2,16.52,6.2,0,0.7,0.0,134.9
3191,35.0,26.0,32.0,42.0,6.63,12.4,38.9,2,4.3,9.6,161.6
3194,10.0,17.0,51.0,33.0,6.53,32.2,24.5,0,1.2,0.0,83.1
3197,14.0,20.0,32.0,48.0,6.86,10.18,28.3,7,2.9,0.0,218.2
3200,30.0,23.0,22.0,55.0,5.86,11.86,45.1,0,4.6,6.2,139.0
3204,7.0,10.0,52.0,38.0,5.68,10.39,31.8,1,3.2,8.5,83.8
3208,39.0,23.0,30.0,47.0,6.25,11.63,31.0,1,3.1,9.6,130.9
3214,37.0,16.0,34.0,50.0,6.22,15.55,48.9,1,5.2,14.5,489.2
3220,15.0,24.0,23.0,53.0,6.48,12.66,28.3,7,2.5,7.8,223.7
3224,21.0,28.0,17.0,55.0,7.0,13.71,52.4,11,5.4,8.7,404.8
3230,14.0,20.0,36.0,43.0,6.1,10.84,29.7,0,2.9,9.6,387.0
3233,25.0,25.0,33.0,43.0,6.83,14.87,26.9,3,2.9,36.6,159.2
3234,7.0,8.0,57.0,35.0,6.83,13.97,37.0,0,3.4,10.1,240.5
3235,40.0,27.0,13.0,60.0,6.34,18.04,59.2,5,6.5,11.7,181.5
3248,29.0,24.0,19.0,56.0,5.7,10.03,34.6,0,3.4,9.7,158.6
3258,23.0,23.0,28.0,49.0,5.23,52.7,39.1,1,4.2,8.6,398.9
3263,44.0,17.0,42.0,41.0,6.57,36.6,102.4,121,4.4,56.3,260.0
3269,14.0,17.0,42.0,42.0,5.93,10.45,25.0,1,2.0,13.4,104.4
3270,12.0,32.0,19.0,49.0,6.91,37.5,13.9,0,1.3,9.9,61.7
3288,23.0,22.0,24.0,55.0,6.76,12.54,57.1,2,8.0,6.3,125.2
3317,6.0,21.0,40.0,39.0,6.98,19.03,17.2,3,1.6,5.8,186.3
3318,10.0,10.0,55.0,34.0,5.86,10.02,18.9,0,1.9,12.0,130.5
3321,15.0,24.0,37.0,39.0,6.55,10.21,32.6,3,2.6,5.6,233.3
3345,90.0,9.0,57.0,34.0,6.82,57.5,272.7,196,14.2,31.4,397.1
3381,8.0,19.0,29.0,51.0,5.16,43.7,44.1,1,3.7,6.5,210.2
3383,34.0,30.0,19.0,50.0,6.79,39.9,43.2,11,4.2,6.6,210.5
3384,21.0,16.0,37.0,47.0,6.05,13.69,55.0,1,4.2,9.1,320.5
3387,10.0,14.0,37.0,49.0,5.42,40.6,37.3,0,4.0,8.2,164.1
3389,19.0,18.0,23.0,60.0,5.75,38.0,44.1,1,3.6,6.9,196.3
3392,20.0,16.0,24.0,60.0,5.77,20.1,81.4,1,7.1,15.3,91.1
3397,9.0,24.0,50.0,26.0,6.64,11.59,4.4,0,0.7,5.9,163.2
3403,13.0,25.0,16.0,60.0,5.82,31.1,22.2,1,2.7,0.0,152.4
3405,53.0,17.0,31.0,52.0,5.27,24.8,54.0,0,5.7,65.7,188.8
3407,45.0,14.0,27.0,59.0,5.36,18.56,71.3,1,6.7,24.1,95.7
3415,21.0,20.0,31.0,49.0,5.97,10.1,29.4,0,3.1,16.4,145.4
3457,9.0,18.0,40.0,42.0,6.78,10.61,45.0,3,4.3,8.9,274.0
3463,16.0,38.0,13.0,49.0,6.18,32.1,40.6,1,4.3,8.2,301.9
3489,18.0,13.0,37.0,50.0,6.27,11.29,12.7,1,1.2,5.2,61.7
3493,30.0,15.0,41.0,44.0,6.78,16.84,100.7,6,5.5,15.2,259.7
3506,26.0,20.0,25.0,55.0,5.78,14.06,36.2,0,2.6,7.2,189.4
3508,14.0,21.0,42.0,37.0,7.0,43.7,41.5,9,3.9,150.9,707.2
3518,19.0,22.0,22.0,56.0,6.01,20.9,41.7,1,2.6,8.6,258.8
3520,18.0,19.0,39.0,42.0,6.24,11.01,11.9,1,1.3,8.5,90.2
3531,23.0,27.0,24.0,49.0,6.14,18.08,40.3,1,3.9,0.0,288.5
3532,21.0,5.0,63.0,31.0,5.53,13.14,15.5,0,1.4,10.4,76.0
3553,11.0,15.0,53.0,32.0,6.64,14.49,6.8,1,0.9,49.7,218.8
3554,7.0,15.0,48.0,37.0,5.72,32.7,37.8,1,2.4,11.3,211.6
3556,14.0,15.0,39.0,46.0,6.06,13.15,34.6,0,1.7,0.0,176.7
3560,4.0,8.0,59.0,32.0,6.55,25.7,15.7,0,1.5,10.4,388.4
3563,32.0,23.0,25.0,51.0,6.65,38.7,46.7,1,3.8,12.1,248.5
3568,23.0,18.0,36.0,46.0,6.43,10.96,12.2,0,1.0,0.0,193.4
3569,12.0,38.0,9.0,53.0,6.0,51.4,67.9,4,7.1,50.5,224.9
3573,13.0,8.0,55.0,38.0,5.24,12.3,6.9,0,0.8,8.7,82.2
3574,17.0,15.0,45.0,40.0,5.54,58.0,22.5,0,2.9,52.1,315.8
3576,9.0,16.0,37.0,47.0,5.82,17.58,17.7,1,1.8,29.6,56.1
3578,23.0,20.0,27.0,53.0,6.3,31.0,43.1,0,3.0,10.9,348.8
3582,27.0,26.0,24.0,50.0,6.3,11.03,81.9,1,5.0,8.9,101.4
3586,31.0,18.0,38.0,44.0,6.41,12.83,34.6,1,2.4,37.8,471.8
3587,25.0,10.0,49.0,41.0,6.42,33.1,78.6,0,6.5,20.5,558.8
3594,18.0,10.0,56.0,34.0,5.94,11.43,4.9,0,0.8,6.8,38.9
3596,26.0,10.0,44.0,46.0,6.05,26.8,16.2,0,1.7,0.0,102.7
3604,18.0,27.0,30.0,43.0,5.32,18.62,39.9,0,3.3,7.9,330.6
3610,22.0,15.0,31.0,54.0,5.88,29.4,21.0,0,2.4,6.5,201.5
3612,11.0,21.0,21.0,58.0,6.53,30.0,23.5,1,2.1,5.8,165.6
3613,6.0,10.0,61.0,29.0,6.26,12.3,9.3,1,1.1,0.0,52.9
3615,11.0,20.0,42.0,37.0,5.36,18.08,10.7,0,1.3,10.0,90.7
3617,30.0,27.0,22.0,50.0,5.8,10.59,43.5,0,3.4,8.6,255.4
3619,20.0,19.0,28.0,53.0,5.17,43.6,43.8,0,3.7,49.9,235.6
3620,23.0,23.0,29.0,47.0,5.55,20.5,25.5,0,2.1,0.0,94.1
3627,23.0,36.0,18.0,47.0,6.51,13.93,30.1,1,3.2,0.0,216.5
3631,14.0,13.0,35.0,52.0,6.12,23.4,22.2,0,1.6,7.6,112.6
3634,27.0,22.0,26.0,52.0,6.63,11.57,25.5,3,2.5,0.0,204.8
3637,17.0,25.0,21.0,54.0,5.39,20.8,14.4,1,1.9,19.7,127.9
3641,23.0,10.0,69.0,21.0,6.2,10.38,7.0,0,0.8,0.0,63.6
3643,39.0,26.0,19.0,55.0,6.2,12.19,65.6,1,3.8,0.0,281.9
3644,32.0,19.0,41.0,40.0,6.27,10.69,51.1,0,2.8,0.0,166.5
3645,12.0,13.0,32.0,55.0,6.03,21.0,46.5,0,4.7,18.8,258.9
3660,38.0,32.0,12.0,56.0,6.95,11.78,76.3,3,7.8,8.7,494.4
3666,9.0,20.0,30.0,49.0,6.29,15.75,20.0,1,2.2,23.1,163.4
3667,27.0,2.0,88.0,11.0,5.6,47.9,347.8,0,25.2,16.9,180.5
3671,36.0,12.0,38.0,50.0,7.0,42.5,192.1,34,16.3,14.3,56.1
3674,5.0,10.0,44.0,46.0,5.35,11.97,35.7,0,3.2,15.4,46.9
3675,6.0,15.0,36.0,49.0,6.19,19.77,61.5,1,5.2,108.4,311.4
3676,5.0,10.0,48.0,42.0,6.32,12.55,36.3,1,3.4,11.7,52.1
3678,10.0,19.0,44.0,37.0,5.09,36.1,17.7,0,2.0,68.0,121.0
3679,4.0,7.0,60.0,33.0,5.71,56.1,32.9,0,3.2,75.9,107.3
3681,1.0,3.0,87.0,10.0,5.16,11.6,11.9,0,1.2,70.0,41.6
3685,8.0,19.0,44.0,38.0,5.93,39.7,14.8,0,2.0,73.1,152.0
3691,23.0,22.0,18.0,60.0,5.53,38.9,34.1,0,4.3,45.0,328.2
3694,6.0,7.0,75.0,18.0,5.77,13.42,9.7,0,1.0,38.0,47.4
3699,12.0,29.0,25.0,46.0,6.39,30.4,26.4,1,3.3,37.7,150.2
3700,30.0,35.0,11.0,54.0,6.79,19.68,22.5,3,2.4,42.8,574.5
3702,5.0,15.0,47.0,38.0,5.65,38.9,50.1,1,3.7,28.7,219.6
3705,8.0,12.0,48.0,40.0,6.27,26.2,33.3,1,3.3,81.8,359.4
3707,4.0,5.0,79.0,16.0,5.3,14.14,10.3,0,1.1,16.0,61.0
3708,12.0,21.0,38.0,41.0,6.55,16.68,14.5,0,1.8,56.6,204.7
3709,5.0,11.0,45.0,44.0,6.24,36.6,17.1,1,1.9,93.9,287.6
3712,4.0,12.0,58.0,30.0,6.07,13.37,15.1,0,1.7,54.5,69.0
3714,4.0,8.0,64.0,27.0,6.34,28.4,25.1,0,2.0,44.4,179.1
3715,17.0,22.0,22.0,56.0,5.86,10.65,29.5,0,3.4,20.3,54.6
3718,9.0,12.0,58.0,30.0,6.73,35.1,14.3,1,1.5,37.6,247.8
3721,43.0,26.0,11.0,63.0,6.91,55.9,52.6,6,5.9,27.7,136.2
3722,32.0,23.0,15.0,61.0,6.26,37.8,47.5,1,5.3,35.2,104.4
3725,11.0,27.0,37.0,36.0,5.57,20.2,18.8,1,2.3,48.4,211.0
3726,31.0,34.0,13.0,54.0,6.68,14.21,46.6,8,4.3,6.1,256.8
3730,26.0,17.0,20.0,64.0,5.45,22.7,37.6,0,4.0,52.5,172.1
3732,10.0,21.0,16.0,63.0,6.81,10.66,11.8,0,1.5,73.1,259.4
3733,6.0,13.0,36.0,51.0,6.1,10.65,27.9,0,2.3,26.2,65.3
3734,7.0,12.0,66.0,22.0,6.14,20.4,6.8,0,0.9,72.9,145.1
3741,12.0,18.0,15.0,67.0,6.88,28.5,12.0,1,1.6,114.7,316.7
3745,11.0,20.0,19.0,61.0,5.06,30.9,33.3,1,4.2,19.2,202.0
3746,35.0,22.0,14.0,64.0,6.87,58.5,93.6,16,6.6,8.9,143.0
3748,28.0,25.0,12.0,62.0,6.56,21.0,55.8,1,5.1,0.0,107.0
3750,17.0,20.0,17.0,63.0,6.15,23.7,45.9,0,5.3,65.4,115.0
3756,4.0,7.0,73.0,19.0,6.6,14.6,15.4,1,1.6,51.3,71.3
3757,20.0,34.0,10.0,57.0,6.14,12.45,16.9,1,1.8,36.7,116.9
3758,18.0,26.0,13.0,61.0,5.46,52.6,37.8,1,4.6,23.9,90.4
3766,30.0,33.0,10.0,56.0,5.97,14.9,27.3,6,2.4,21.2,140.1
3770,30.0,34.0,6.0,60.0,5.67,16.09,41.9,0,4.6,26.0,129.9
3773,12.0,21.0,18.0,61.0,5.48,11.8,16.5,1,2.0,46.8,182.0
3774,12.0,20.0,15.0,65.0,5.28,24.9,30.6,0,2.4,13.8,117.0
3775,3.0,15.0,60.0,25.0,6.67,19.72,13.4,2,1.6,25.4,154.1
3777,6.0,5.0,76.0,19.0,5.3,18.86,30.2,0,1.9,41.5,65.1
3781,16.0,9.0,46.0,45.0,6.16,24.8,54.5,2,3.9,18.6,163.6
3786,5.0,13.0,57.0,29.0,6.69,16.32,7.1,22,0.8,0.0,29.9
3850,15.0,50.0,23.0,27.0,6.97,21.1,8.4,1,1.3,155.8,1123.0
3851,21.0,29.0,36.0,35.0,6.92,10.2,8.7,1,1.0,31.2,173.9
3854,16.0,21.0,12.0,67.0,6.84,40.1,57.3,7,5.6,12.2,121.6
3861,22.0,17.0,39.0,45.0,6.22,10.52,37.4,0,3.4,12.8,154.0
3862,10.0,7.0,51.0,42.0,5.4,11.89,46.3,0,4.8,29.2,128.7
3863,16.0,12.0,45.0,43.0,5.62,18.55,8.2,0,1.0,7.8,53.2
3877,14.0,18.0,46.0,37.0,5.83,11.4,24.9,0,1.9,13.7,152.4
3879,6.0,10.0,40.0,50.0,5.6,55.4,46.3,0,4.7,8.2,84.1
3882,9.0,10.0,53.0,37.0,6.17,24.0,40.2,0,3.0,10.2,178.3
3884,18.0,24.0,18.0,59.0,5.49,21.1,16.0,0,2.3,6.4,56.8
3885,31.0,39.0,19.0,42.0,6.95,25.3,50.3,4,4.9,0.0,390.8
3895,31.0,28.0,29.0,43.0,6.15,25.8,30.7,0,3.3,0.0,143.4
3900,13.0,16.0,39.0,45.0,5.68,34.6,20.0,0,2.1,7.1,181.9
3903,10.0,7.0,62.0,31.0,5.06,15.5,17.6,0,1.9,0.0,97.6
3908,14.0,11.0,52.0,37.0,5.53,22.5,16.7,0,2.0,20.8,372.0
3909,43.0,29.0,21.0,50.0,6.35,10.3,65.5,2,4.1,0.0,141.9
3911,17.0,6.0,64.0,30.0,5.63,15.75,12.3,0,1.4,0.0,47.0
3913,44.0,29.0,9.0,62.0,5.4,49.2,55.7,0,6.1,10.6,286.1
3916,17.0,15.0,58.0,27.0,5.29,10.39,8.8,0,1.0,40.0,116.3
3917,15.0,11.0,50.0,39.0,6.94,15.37,31.2,11,1.8,0.0,61.3
3927,9.0,19.0,25.0,56.0,6.76,21.1,11.9,0,1.4,41.9,115.5
